epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
136.0,110.0,26.0,680.0,10000.0,384.6154,69.0,69.0,-0.42294717,0.002,,0.0055,0.54567605,
190.0,66.0,51.0,950.0,20000.0,392.15686,200.0,134.5,-0.30538508,0.002,,0.001,0.5544314,
250.0,200.0,75.0,1255.0,30000.0,400.0,200.0,156.33333,-0.13948117,0.002,,0.001,0.56079024,
303.0,92.0,97.0,1515.0,40000.0,412.37112,200.0,167.25,0.12938529,0.002,,0.001,0.5694468,
358.0,27.0,118.0,1790.0,50000.0,423.72882,147.0,163.2,-0.45948446,0.002,,0.001,0.5528002,
417.0,18.0,138.0,2085.0,60000.0,434.78262,200.0,169.33333,-0.24138893,0.002,,0.001,0.52405816,
469.0,28.0,155.0,2345.0,70000.0,451.6129,200.0,173.71428,-0.2280007,0.002,,0.001,0.5343344,
521.0,76.0,178.0,2605.0,80000.0,449.4382,97.0,164.125,0.10704119,0.002,,0.001,0.4721754,
582.0,168.0,200.0,2910.0,90000.0,450.0,200.0,168.11111,0.31812575,0.002,,0.001,0.5419526,
643.0,67.0,225.0,3215.0,100000.0,444.44446,134.0,164.7,0.10693101,0.002,,0.001,0.53034335,
