epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
158.0,180.0,29.0,790.0,10000.0,344.82758,187.0,187.0,-0.15556274,0.002,,0.0055,0.6118564,
223.0,191.0,52.0,1115.0,20000.0,384.6154,163.0,175.0,0.048673645,0.002,,0.001,0.55105865,
282.0,188.0,74.0,1410.0,30000.0,405.4054,186.0,178.66667,-0.53042805,0.002,,0.001,0.5198256,
335.0,93.0,93.0,1675.0,40000.0,430.1075,200.0,184.0,0.69053483,0.002,,0.001,0.56601965,
387.0,89.0,115.0,1935.0,50000.0,434.78262,200.0,187.2,0.15918365,0.002,,0.001,0.5615259,
444.0,171.0,134.0,2220.0,60000.0,447.7612,199.0,189.16667,0.43619952,0.002,,0.001,0.53095335,
496.0,198.0,157.0,2480.0,70000.0,445.85986,200.0,190.71428,0.24903746,0.002,,0.001,0.5400646,
551.0,113.0,177.0,2755.0,80000.0,451.9774,200.0,191.875,0.012853656,0.002,,0.001,0.5483005,
606.0,172.0,203.0,3030.0,90000.0,443.34976,200.0,192.77777,-0.93178856,0.002,,0.001,0.5387118,
659.0,171.0,227.0,3295.0,100000.0,440.52863,200.0,193.5,-0.4675499,0.002,,0.001,0.5307983,
